start	end	text
2043300	2044300	还有比如说一些
2044300	2045300	SAP的这种
2045300	2046300	项目阶段性的
2046300	2047300	这种
2047300	2048300	场景性的这种
2048300	2049300	语言训练之类的
2049300	2050300	是这样的吗
2050300	2051300	嗯
2052300	2053300	嗯
2054300	2055300	哦
2058300	2059300	嗯
2062300	2063300	嗯
2067300	2068300	嗯
2069300	2070300	对
2072300	2073300	您觉得
2073300	2074300	您现在用的这些
2074300	2075300	课件
2076300	2077300	这些方法
2077300	2078300	还有讲课的这种
2080300	2081300	对
2088300	2089300	嗯
2093300	2094300	呵呵
2096300	2097300	嗯
2109300	2110300	嗯
2114300	2115300	嗯
2117300	2118300	嗯
2129300	2130300	哦
2131300	2132300	嗯
2145300	2146300	嗯
2147300	2148300	嗯
2158300	2159300	嗯
2164300	2165300	嗯
2173300	2174300	嗯
2175300	2176300	嗯
2176300	2177300	嗯
2178300	2179300	嗯
2179300	2180300	就是
2181300	2182300	就是您
2182300	2183300	您拼自己的这种感觉
2183300	2184300	比如说
2184300	2185300	像您现在
2185300	2186300	用的这一套
2186300	2187300	如果
2187300	2188300	把它转化成日语的话
2188300	2190300	它同样也有效吗
2191300	2192300	嗯
2203300	2204300	呵呵呵
2208300	2209300	嗯
2209300	2210300	嗯
2213300	2214300	嗯
2218300	2219300	对对对
2219300	2220300	对
2221300	2222300	对
2222300	2223300	我现在动静
2224300	2225300	对
2227300	2228300	对
2228300	2229300	我以前也
2229300	2230300	也做过美国项目
2230300	2231300	还去美国出差过
2233300	2234300	有一个
2234300	2235300	嗯
2243300	2244300	嗯
2245300	2246300	啊
2248300	2249300	啊
2251300	2252300	嗯
2259300	2260300	嗯嗯
2262300	2263300	好的
2263300	2264300	我暂时没有问题了
2264300	2265300	因为
2265300	2266300	有安妮老师这样的
2266300	2267300	大神机的人
2267300	2268300	我在做这人
2268300	2269300	我感觉一点问题都没有了
2269300	2270300	呵呵
2270300	2271300	嗯
2295300	2296300	对对对
2296300	2297300	嗯
2300300	2301300	呵呵
2303300	2304300	对对对
2304300	2305300	好的
2305300	2306300	好的
2312300	2313300	对
2314300	2315300	对的对的
2315300	2316300	现在
2316300	2317300	就是我一般
2317300	2318300	只调远程的项目
2318300	2319300	那种需要出门的项目
2319300	2320300	我不会去的
2326300	2327300	这边
2327300	2328300	项目很多
2330300	2331300	对
2331300	2332300	这边
2332300	2333300	日本这边
2333300	2334300	确认确认非常厉害
2334300	2335300	认了
2335300	2336300	就是直接导致了
2336300	2337300	这整个行业
2337300	2338300	现在
2338300	2339300	就是很多
2339300	2340300	那个ECC都没有
2340300	2341300	进入
2341300	2342300	还没有导入到
2342300	2343300	没有转换成那个S幅画呢
2347300	2348300	嗯
2350300	2351300	对对
2351300	2352300	很多这种项目
2352300	2353300	就特别确认
2356300	2357300	嗯
2358300	2359300	对
2359300	2360300	就现在
2360300	2361300	嗯
2361300	2362300	好的好的
2365300	2366300	嗯
2370300	2371300	没有教育没有教育
2371300	2372300	就是
2373300	2374300	嗯
2374300	2375300	我这边基本没有
2375300	2376300	没有什么了
2376300	2377300	我可能比较关心的
2377300	2378300	还有一些
2378300	2379300	比如说
2379300	2380300	我们要
2380300	2381300	为学员交付一些东西吗
2381300	2382300	你比如说我们
2382300	2384300	在每个课都要安排
2384300	2385300	怎么安排这种
2385300	2387300	我们讲解的时间
2387300	2388300	学生练习的时间
2388300	2390300	还有我们对他们这种
2390300	2392300	成果的这种点评的这种时间
2392300	2393300	这种
2393300	2394300	这种
2394300	2396300	可能肯定是有比例的
2396300	2397300	一个小时
2397300	2399300	可能也考虑不了那么多吧
2407300	2408300	嗯
2415300	2416300	嗯
2422300	2423300	嗯
2435300	2436300	嗯
2445300	2446300	嗯
2453300	2454300	嗯
2457300	2458300	嗯
2458300	2459300	考试
2459300	2460300	太厉害了
2460300	2461300	嗯
2461300	2462300	好的好的
2462300	2463300	嗯
2475300	2476300	嗯
2477300	2479300	您的课程设计
2479300	2480300	感觉还挺合理的
2481300	2482300	行
2482300	2483300	嗯
2490300	2491300	嗯
2493300	2494300	嗯
2494300	2495300	好的那点
2506300	2507300	嗯
2510300	2511300	我这边没问题了
2511300	2512300	我这边非常感谢你们
2512300	2513300	没问题了
2513300	2514300	嗯
2514300	2515300	嗯
2517300	2518300	嗯
2518300	2519300	嗯
2519300	2520300	嗯
2520300	2521300	嗯
2521300	2522300	嗯
2522300	2523300	嗯
2523300	2524300	嗯
2524300	2525300	嗯
2525300	2526300	嗯
2526300	2527300	嗯
2527300	2528300	嗯
2528300	2529300	嗯
2529300	2530300	嗯
2530300	2531300	嗯
2531300	2532300	嗯
2532300	2533300	嗯
2533300	2534300	嗯
2534300	2535300	嗯
2557300	2558300	嗯
2558300	2559300	嗯
2559300	2560300	嗯
2560300	2561300	嗯
2561300	2562300	嗯
2562300	2563300	嗯
2563300	2564300	嗯
2564300	2565300	嗯
2565300	2566300	嗯
2566300	2567300	嗯
2567300	2568300	嗯
2568300	2569300	嗯
2569300	2570300	对对对
2570300	2571300	嗯
2585300	2586300	嗯
2586300	2587300	嗯
2587300	2588300	嗯
2588300	2589300	嗯
2589300	2590300	嗯
2590300	2591300	嗯
2591300	2592300	嗯
2600300	2601300	嗯
2610300	2611300	嗯
2614300	2615300	嗯
2615300	2616300	可以啊
2619300	2620300	嗯
2621300	2622300	嗯
2625300	2626300	嗯
2631300	2632300	嗯
2652300	2653300	嗯
2654300	2656300	你现在是发视频号还是那个
2656300	2657300	嗯
2663300	2664300	嗯
2666300	2667300	嗯
2667300	2668300	嗯
2671300	2672300	嗯
2675300	2676300	嗯
2682300	2683300	嗯
2686300	2687300	好的
2697300	2698300	都可以啊
2698300	2699300	都没问题
2699300	2700300	都没问题
2700300	2701300	都没有问题
2701300	2702300	这些都没问题
2702300	2703300	嗯
2705300	2706300	这些都很熟悉
2706300	2707300	这些
2707300	2709300	这些完全没问题
2709300	2711300	就是任何模块
2711300	2713300	几乎就是都
2713300	2714300	都可以的
2714300	2716300	就是我我也不希望
2716300	2717300	对
2717300	2720300	不希望他只限定在FICO
2720300	2722300	我是希望能做所有模块
2722300	2723300	嗯
2725300	2726300	对对对
2733300	2734300	对对
2734300	2735300	嗯
2735300	2736300	嗯
2736300	2737300	嗯
2738300	2739300	对对对
2746300	2747300	对对
2747300	2748300	就是说
2748300	2749300	嗯
2749300	2750300	那
2750300	2751300	首先一个就是你可以这么认为
2751300	2752300	就是说
2752300	2754300	就算我现在去做bassist的这种
2754300	2755300	呃
2755300	2756300	面向bassist的顾问的这种英语培训
2756300	2757300	我都是可以做
2757300	2758300	呃日语培训
2758300	2759300	我都是可以做的
2759300	2760300	所以这
2760300	2761300	它不会限定
2761300	2762300	呃
2762300	2763300	因为为什么呢
2763300	2764300	因为
2764300	2765300	对
2765300	2766300	因为它是一个工具
2766300	2767300	它
2767300	2768300	它并不会因为我的学生啊
2768300	2769300	是bassist
2769300	2770300	所以它就
2770300	2771300	不能来听我的课
2771300	2772300	它听不了我的课
2772300	2773300	不会不存在这种问题
2777300	2778300	嗯
2779300	2780300	对
2786300	2787300	对
2789300	2790300	对对对
2790300	2791300	对的对的
2791300	2792300	就是说
2792300	2794300	我可以提前掌握他们的背景
2794300	2795300	然后为他们量身
2795300	2796300	订造一些
2796300	2797300	订制一些
2797300	2798300	呃适合他们的这种
2798300	2799300	呃
2799300	2800300	呃
2800300	2801300	或者说对话啊
2801300	2802300	或者说练习啊
2802300	2803300	我都是可以的
2803300	2804300	嗯
2804300	2805300	嗯
2806300	2807300	嗯
2811300	2812300	谢谢你老师
2812300	2813300	谢谢
2819300	2820300	哎
2820300	2821300	哎
2826300	2827300	哦非常好呀
2827300	2828300	我感觉安宁老师
2828300	2829300	他非常的
2829300	2830300	呃
2834300	2835300	哦思路非常清晰啊
2835300	2836300	现在完全没有问题
2836300	2837300	虽然我现在还没有看到
2837300	2838300	他的那个
2838300	2839300	课程
2839300	2840300	呃
2840300	2841300	目录课件呀什么的
2841300	2842300	但是我非常于信心
2842300	2843300	嗯
2848300	2849300	嗯
2851300	2852300	嗯
2858300	2859300	嗯
2861300	2862300	嗯
2867300	2868300	嗯
2869300	2870300	嗯
2880300	2881300	嗯
2897300	2898300	对
2907300	2908300	对
2911300	2912300	嗯
2929300	2930300	嗯
2941300	2942300	嗯
2943300	2944300	对对
2944300	2945300	是的
2950300	2951300	对
2951300	2952300	我想再确认一下
2952300	2953300	就是安宁老师会
2953300	2954300	会为
2954300	2955300	这次日语的培训
2955300	2956300	他还会提供一些
2956300	2957300	什么样的资料
2957300	2958300	什么样的
2962300	2963300	嗯
2966300	2967300	嗯
2968300	2969300	嗯
2973300	2974300	嗯
2974300	2975300	嗯
2977300	2978300	嗯
2980300	2981300	嗯
2998300	2999300	好嘞
3008300	3009300	嗯看到了
3015300	3016300	嗯
3021300	3022300	嗯
3022300	3023300	嗯
3026300	3027300	嗯
3029300	3030300	嗯
3034300	3035300	嗯
3038300	3039300	嗯
3041300	3042300	嗯
3042300	3043300	嗯
3044300	3045300	嗯
3052300	3053300	嗯
3061300	3062300	嗯
3068300	3069300	嗯
3069300	3070300	嗯
3071300	3072300	嗯
3083300	3084300	嗯
3087300	3088300	嗯
3090300	3091300	嗯
3097300	3098300	嗯
3100300	3101300	嗯
3103300	3104300	嗯
3107300	3108300	嗯
3108300	3109300	嗯
3128300	3129300	嗯
3139300	3140300	嗯
3142300	3143300	嗯
3144300	3145300	嗯
3146300	3147300	嗯
3153300	3154300	嗯
3156300	3157300	嗯
3158300	3159300	嗯
3161300	3162300	嗯
3163300	3164300	嗯
3165300	3166300	嗯
3346300	3365780	对,那上课用的语言是中文和英文夹杂的,是吧?
3366780	3367780	嗯
3371780	3372780	好,好
3384780	3389780	嗯,你想一个星期才一次课对不对?
3390780	3391780	嗯
3393780	3394780	啊
3397780	3398780	嗯
3400780	3401780	可以
3402780	3403780	嗯
3412780	3413780	可以
3417780	3418780	嗯
3420780	3430780	一个星期一次课,24节课就是24个星期,那将近大半年,还半年了,是吧?小半年
3434780	3435780	嗯
3441780	3442780	嗯
3449780	3450780	嗯
3472780	3473780	OK,谢谢
3480780	3481780	嗯
3497780	3498780	课用
3505780	3506780	嗯
3507780	3508780	课
3513780	3514780	嗯
3516780	3517780	嗯
3519780	3520780	课
3521780	3522780	课
3526780	3527780	嗯
3528780	3529780	嗯
3531780	3532780	嗯
3533780	3534780	嗯
3536780	3537780	嗯
3540780	3541780	好
3550780	3551780	谢谢
3563780	3564780	嗯
3569780	3570780	嗯
3576780	3577780	对
3584780	3587780	对,完全没有问题,就是你现在你
3588780	3594780	你的这个,就是能够把他的那个视频分享给我的话,那是一个最保险的做法
3594780	3599780	那至少就是有,至少有一套非常完整的,这种教学的方案出来
3599780	3600780	嗯
3600780	3601780	如果
3602780	3603780	嗯
3606780	3607780	对对,如果
3609780	3610780	对
3612780	3613780	嗯
3617780	3618780	对对对
3619780	3633780	就是我接下来的话,我需要,需要他最新的这个PPT,然后我要整理成我自己日语,日语版本的,面向日语的学生,面向日本行业,日本这边的这个
3639780	3640780	嗯
3647780	3648780	嗯
3660780	3661780	嗯
3662780	3663780	嗯
3665780	3666780	嗯
3671780	3672780	嗯
3677780	3678780	嗯
3686780	3687780	嗯
3689780	3690780	嗯
3704780	3705780	嗯
3707780	3708780	嗯
3738780	3739780	嗯
3743780	3744780	嗯
3759780	3760780	嗯
3768780	3769780	嗯
3789780	3790780	嗯
3792780	3793780	嗯
3797780	3802780	我,我,我,我,我,我多问两个问题啊,然后就结束
3802780	3808780	就是一个字,安妮老师他现在一个星期他对应几个班
3811780	3813780	啊,四个班没,一个
3815780	3816780	嗯
3816780	3817780	嗯
3817780	3818780	嗯
3818780	3819780	嗯
3819780	3821780	啊,他有
3821780	3822780	有
3828780	3829780	嗯
3831780	3832780	嗯
3842780	3843780	嗯
3843780	3844780	嗯
3857780	3858780	嗯
3863780	3864780	嗯
3875780	3876780	嗯
3878780	3879780	好,好
3880780	3883780	好的,好的,这样,那我,那我再说没问题了
3884780	3885780	嗯
3894780	3895780	嗯
3898780	3899780	嗯
3899780	3900780	好
3902780	3903780	好
3906780	3907780	好
3914780	3915780	对
3919780	3920780	嗯
3931780	3932780	嗯
3937780	3938780	嗯
3941780	3942780	嗯
3943780	3944780	嗯
3951780	3952780	嗯
3953780	3954780	嗯
3963780	3965780	对,对,对,对
3966780	3967780	对,对
3970780	3971780	嗯
3974780	3975780	嗯
3984780	3985780	嗯
3990780	3991780	嗯
3994780	3995780	嗯
3997780	3999780	要多少个时
3999780	4001780	嘿嘿,五六十
4003780	4006780	啊,对,我们可以把分成两个,两个阶段吗
4013780	4014780	对,对,对
4024780	4025780	对,对,对
4026780	4027780	对
4028780	4029780	嗯
4033780	4034780	嗯
4040780	4041780	嗯
4051780	4052780	嗯
4052780	4053780	对
4058780	4059780	嗯
4064780	4065780	嗯
4065780	4066780	对,对,对
4066780	4067780	是的
4071780	4072780	嗯
4078780	4079780	嗯
4079780	4080780	嗯
4093780	4094780	嗯
4099780	4101780	对,对,对,对
4101780	4102780	嗯
4102780	4103780	这样
4103780	4104780	对,都可以
4104780	4105780	嗯
4107780	4109780	嗯,好,好的,好的
4112780	4114780	好的,好的,谢谢,谢谢,谢谢
4114780	4116780	谢谢,谢谢,谢谢
4117780	4118780	嗯
4119780	4120780	那
4121780	4122780	对
4122780	4124780	对,就是想把这个课程给来做好嘛
4124780	4126780	因为你想想,如果真的需求比较
4126780	4128780	有一些人需要的话
4128780	4130780	那我也很愿意
4130780	4131780	提供这个服务嘛,对不对
4131780	4133780	所以我们又把它
4133780	4135780	做成一个牌子
4135780	4136780	嗯
4136780	4137780	嗯
4143780	4144780	嗯
4148780	4149780	嗯
4150780	4151780	嗯
4152780	4153780	嗯
4153780	4154780	嗯
4155780	4156780	嗯
4156780	4157780	嗯
4160780	4161780	嗯
4162780	4163780	嗯
4196780	4202780	是的,这个,这个我就没问题了
4202780	4207780	好的,好的,孟老师好的
4207780	4210780	拜拜
